	1976	1980	1984	1988	1992	1996	2000	2004	2008	2012	2016
Alabama	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3
Alaska	#bf1520	#bf1520	#bf1520	#bf1520	#bf1520	#bf1520	#bf1520	#bf1520	#bf1520	#bf1520	#bf1520
Arizona	#bf1520	#bf1520	#bf1520	#2437a3	#2437a3	#bf1520	#bf1520	#bf1520	#2437a3	#2437a3	#2437a3
Arkansas	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3
California	#bf1520	#bf1520	#bf1520	#d47e0f	#2437a3	#bf1520	#bf1520	#bf1520	#2437a3	#2437a3	#2437a3
Colorado	#2437a3	#bf1520	#2437a3	#2437a3	#2437a3	#bf1520	#bf1520	#bf1520	#2437a3	#2437a3	#bf1520
Connecticut	#bf1520	#bf1520	#bf1520	#2437a3	#bf1520	#bf1520	#bf1520	#bf1520	#bf1520	#2437a3	#2437a3
Delaware	#bf1520	#bf1520	#bf1520	#2437a3	#bf1520	#bf1520	#bf1520	#bf1520	#bf1520	#2437a3	#2437a3
District of Columbia	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3
Florida	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#bf1520	#2437a3	#2437a3	#2437a3
Georgia	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3
Hawaii	#2437a3	#2437a3	#bf1520	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3
Idaho	#2437a3	#bf1520	#bf1520	#2437a3	#2437a3	#bf1520	#bf1520	#bf1520	#2437a3	#2437a3	#2437a3
Illinois	#bf1520	#bf1520	#bf1520	#2437a3	#bf1520	#bf1520	#bf1520	#bf1520	#2437a3	#2437a3	#2437a3
Indiana	#bf1520	#bf1520	#bf1520	#2437a3	#bf1520	#bf1520	#bf1520	#bf1520	#2437a3	#2437a3	#bf1520
Iowa	#bf1520	#bf1520	#bf1520	#2437a3	#bf1520	#bf1520	#bf1520	#bf1520	#2437a3	#2437a3	#bf1520
Kansas	#bf1520	#bf1520	#bf1520	#2437a3	#2437a3	#bf1520	#bf1520	#bf1520	#2437a3	#2437a3	#bf1520
Kentucky	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#bf1520	#bf1520	#2437a3	#2437a3	#2437a3
Louisiana	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3
Maine	#bf1520	#bf1520	#bf1520	#2437a3	#bf1520	#bf1520	#bf1520	#bf1520	#bf1520	#bf1520	#bf1520
Maryland	#bf1520	#2437a3	#2437a3	#2437a3	#2437a3	#bf1520	#bf1520	#bf1520	#2437a3	#2437a3	#2437a3
Massachusetts	#bf1520	#bf1520	#bf1520	#2437a3	#bf1520	#bf1520	#bf1520	#2437a3	#2437a3	#2437a3	#2437a3
Michigan	#bf1520	#bf1520	#bf1520	#d47e0f	#bf1520	#bf1520	#bf1520	#bf1520	#2437a3	#2437a3	#bf1520
Minnesota	#bf1520	#bf1520	#bf1520	#d47e0f	#bf1520	#bf1520	#bf1520	#bf1520	#2437a3	#2437a3	#2437a3
Mississippi	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3
Missouri	#2437a3	#bf1520	#bf1520	#2437a3	#2437a3	#bf1520	#bf1520	#bf1520	#2437a3	#2437a3	#2437a3
Montana	#2437a3	#bf1520	#bf1520	#2437a3	#2437a3	#bf1520	#bf1520	#bf1520	#2437a3	#2437a3	#2437a3
Nebraska	#bf1520	#bf1520	#2437a3	#2437a3	#2437a3	#bf1520	#bf1520	#bf1520	#2437a3	#2437a3	#bf1520
Nevada	#2437a3	#bf1520	#2437a3	#2437a3	#2437a3	#bf1520	#bf1520	#bf1520	#2437a3	#2437a3	#2437a3
New Hampshire	#bf1520	#bf1520	#bf1520	#2437a3	#2437a3	#bf1520	#bf1520	#bf1520	#bf1520	#2437a3	#2437a3
New Jersey	#bf1520	#bf1520	#bf1520	#2437a3	#bf1520	#bf1520	#bf1520	#bf1520	#2437a3	#2437a3	#2437a3
New Mexico	#bf1520	#bf1520	#bf1520	#2437a3	#2437a3	#bf1520	#bf1520	#bf1520	#2437a3	#2437a3	#2437a3
New York	#bf1520	#bf1520	#bf1520	#2437a3	#bf1520	#bf1520	#bf1520	#bf1520	#2437a3	#2437a3	#2437a3
North Carolina	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#bf1520	#2437a3	#2437a3	#2437a3
North Dakota	#bf1520	#bf1520	#bf1520	#2437a3	#2437a3	#bf1520	#bf1520	#bf1520	#2437a3	#2437a3	#bf1520
Ohio	#bf1520	#bf1520	#bf1520	#2437a3	#2437a3	#bf1520	#bf1520	#bf1520	#2437a3	#2437a3	#2437a3
Oklahoma	#bf1520	#bf1520	#2437a3	#2437a3	#2437a3	#bf1520	#2437a3	#bf1520	#2437a3	#2437a3	#2437a3
Oregon	#bf1520	#bf1520	#bf1520	#2437a3	#bf1520	#bf1520	#bf1520	#bf1520	#2437a3	#2437a3	#2437a3
Pennsylvania	#bf1520	#bf1520	#bf1520	#d47e0f	#bf1520	#bf1520	#bf1520	#bf1520	#bf1520	#2437a3	#2437a3
Rhode Island	#bf1520	#bf1520	#bf1520	#2437a3	#bf1520	#bf1520	#bf1520	#2437a3	#2437a3	#2437a3	#2437a3
South Carolina	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3
South Dakota	#bf1520	#bf1520	#bf1520	#d47e0f	#bf1520	#bf1520	#bf1520	#bf1520	#2437a3	#2437a3	#bf1520
Tennessee	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#bf1520	#2437a3	#bf1520	#2437a3	#2437a3	#2437a3
Texas	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#bf1520	#2437a3	#2437a3	#2437a3
Utah	#bf1520	#bf1520	#bf1520	#bf1520	#2437a3	#bf1520	#bf1520	#bf1520	#2437a3	#2437a3	#2437a3
Vermont	#bf1520	#bf1520	#bf1520	#bf1520	#bf1520	#bf1520	#bf1520	#bf1520	#bf1520	#bf1520	#bf1520
Virginia	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#2437a3	#bf1520	#2437a3	#2437a3	#2437a3
Washington	#bf1520	#bf1520	#bf1520	#d47e0f	#2437a3	#bf1520	#bf1520	#bf1520	#2437a3	#2437a3	#2437a3
West Virginia	#bf1520	#bf1520	#bf1520	#2437a3	#bf1520	#bf1520	#bf1520	#bf1520	#2437a3	#2437a3	#2437a3
Wisconsin	#bf1520	#bf1520	#bf1520	#2437a3	#bf1520	#bf1520	#d47e0f	#bf1520	#2437a3	#2437a3	#2437a3
Wyoming	#bf1520	#bf1520	#bf1520	#2437a3	#2437a3	#bf1520	#bf1520	#bf1520	#2437a3	#2437a3	#2437a3