Year,Democrat,Republican,Independent,Libertarian,American_Independent,American,Socialist_Workers,Citzens,New_Alliance,Populist,Reform,Green,Taxpayers,Natural Law,Constitution
1976,Jimmy Carter†,Gerald Ford,Eugene McCarthy,Roger MacBride,Lester Maddox,Thomas J. Anderson,Peter Camejo,,,,,,,,
1980,Jimmy Carter,Ronald Reagan†,John B. Anderson,Ed Clark,,,,Barry Commoner,,,,,,,
1984,Walter Mondale,Ronald Reagan†,,David Bergland,,,,,,,,,,,
1988,Michael Dukakis,George H. W. Bush†,,Ron Paul,,,,,Lenora Fulani,,,,,,
1992,Bill Clinton†,George H. W. Bush,Ross Perot,Andre Marrou,,,,,,Bo Gritz,,,,,
1996,Bill Clinton†,Bob Dole,,Harry Browne ,,,,,,,Ross Perot,Ralph Nader,Howard Phillips,John Hagelin,
2000,Al Gore‡,George W. Bush†,,Harry Browne,,,,,,,Pat Buchanan,Ralph Nader,,,
2004,John Kerry,George W. Bush†,,Michael Badnarik,,,,,,,Ralph Nader,David Cobb,,,Michael Peroutka
2008,Barack Obama†,John McCain,Ralph Nader,Bob Barr,,,,,,,,Cynthia McKinney,,,Chuck Baldwin
2012,Barack Obama†,Mitt Romney,,Gary Johnson,,,,,,,,Jill Stein,,,
2016,Hillary Clinton‡,Donald Trump†,Evan McMullin,Gary Johnson,,,,,,,,Jill Stein,,,Darrell Castle